dataset_id,source_id,species_id,age,soil,spacing,time,gowth_conditions,notes,t_ru0,betat,T_ru0,betaT,fit_type,log,n,fit_notes
1,1,14,,,,,,,34.24,-0.45,,,power,FALSE,123,
2,3,21,,,,,,,,,79.11,1.45,power,FALSE,76,original fits in kg. I converted to N
3,4,48,,,,,,,49.391,-0.773,,,power,FALSE,192,
4,6,53,,,,,,,21.89,-0.43,,,power,FALSE,42,
5,6,15,,,,,,,17.86,-0.53,,,power,FALSE,74,paper states 47 samples - probably a typo -> 74
6,7,30,,,,,,,6.18,-1.14,,,power,FALSE,40,
7,7,41,,,,,,,4.74,-2.35,,,power,FALSE,40,
8,7,42,,,,,,,5.92,-1.19,,,power,FALSE,40,
9,12,31,,,,,,,2.58,-2.01,,,power,FALSE,53,
10,12,44,,,,,,,3.52,-1.41,,,power,FALSE,70,
11,12,47,,,,,,,10.57,-1.54,,,power,FALSE,53,
12,12,95,,,,,,,12.52,-0.75,,,power,FALSE,57,
13,15,91,,,,,,,60.478,-0.858,,,power,FALSE,,
14,17,15,,,,,,,31.92,-0.73,,,power,FALSE,53,
15,17,58,,,,,,,37.86,-0.51,,,power,FALSE,27,
16,17,102,,,,,,,63.51,-0.61,,,power,FALSE,11,
17,17,62,,,,,,,23.4,-0.87,,,power,FALSE,34,
18,17,60,,,,,,,18.4,-0.52,,,power,FALSE,30,
19,18,21,Juveline (9 years),,,,,juveline (9 years),21.59,-0.34,,,power,FALSE,,
20,18,21,Mature (30 years),,,,,mature (30 years),25.79,-0.37,,,power,FALSE,,
21,23,98,,,,,,,18.316,-0.03,,,power,FALSE,39,
22,23,43,,,,,,,5.905,-0.596,,,power,FALSE,147,
23,23,86,,,,,,,6.4835,0.032,,,power,FALSE,52,
24,25,34,,,,,Glasshouse,glasshouse,2.035,-1.267,,,power,FALSE,,
25,25,34,,,,,"Field, 20 weeks","field, 20 weeks",2.625,-1.615,,,power,FALSE,,
26,26,13,,,,,,,6.35,0.65,,,power,FALSE,20,
27,26,26,,,,,,,38.02,0.01,,,power,FALSE,16,
28,26,32,,,,,,,11.51,-0.15,,,power,FALSE,20,
29,26,44,,,,,,,2.98,-0.19,,,power,FALSE,20,
30,26,42,,,,,,,9.05,-0.44,,,power,FALSE,20,
31,26,47,,,,,,,5.65,-0.16,,,power,FALSE,19,
32,26,51,,,,,,,8.74,0.7,,,power,FALSE,20,
33,26,66,,,,,,,15.28,0.9,,,power,FALSE,19,
34,26,67,,,,,,,60.49,0.2,,,power,FALSE,20,
35,26,88,,,,,,,6.59,0.4,,,power,FALSE,20,
36,26,95,,,,,,,12.31,0.23,,,power,FALSE,17,
37,26,96,,,,,,,15.66,0.02,,,power,FALSE,20,
38,27,65,,,,,,,91.25,-0.45,,,power,FALSE,18,
39,27,45,,,,,,,60.73,-1.3,,,power,FALSE,28,
40,27,10,,,,,,,72.97,-0.6,,,power,FALSE,59,
41,29,79,,,,,,,4.6,0.015,,,power,FALSE,60,
42,29,59,,,,,,,6.1,0.099,,,power,FALSE,71,
43,28,74,,,,,,,12,0.0113,,,power,FALSE,67,
44,30,59,,,,,,,10.1,0.211,,,power,FALSE,32,
45,31,101,,,,,,,10.6,-0.495,,,power,TRUE,46,
46,32,86,,,,,,,21.34,-0.631,,,power,FALSE,87,
47,34,20,,,,,,,58.3,-0.268,,,exponential,FALSE,"145 (47, 48, 49, 50 combined)",
48,34,65,,,,,,,32.5,-0.222,,,exponential,FALSE,"145 (47, 48, 49, 50 combined)",
49,34,82,,,,,,,53,-0.214,,,exponential,FALSE,"145 (47, 48, 49, 50 combined)",
50,34,47,,,,,,,25.5,-0.193,,,exponential,FALSE,"145 (47, 48, 49, 50 combined)",
51,37,61,,,,,,,30,-0.99,,,power,FALSE,147,
52,37,85,,,,,,,45.9,-1.1,,,power,FALSE,78,
53,43,58,,,,,,,,,178,1.9,power,FALSE,96,
54,45,81,,,,,,,,,15.1,5,quadratic,TRUE,46,
55,45,92,,,,,,,,,12.3,11.91,quadratic,TRUE,43,
