dataset_id,diameter [mm],tensile strength [MPa]
1,0.44108575,65.64732143
1,4.302899445,14.86607143
1,4.49413942,12.91294643
1,4.204194941,11.85267857
1,3.803207896,12.46651786
1,3.800123381,16.09375
1,3.747686613,20.16741071
1,3.547193091,21.5625
1,3.291178285,21.89732143
1,3.297347316,18.54910714
1,3.451573103,18.15848214
1,3.451573103,16.09375
1,3.547193091,15.98214286
1,3.247995065,16.03794643
1,2.840838988,15.64732143
1,2.59407773,15.20089286
1,2.452190006,18.4375
1,2.695866749,20.78125
1,2.748303516,20.11160714
1,2.843923504,26.80803571
1,2.89019124,26.640625
1,3.044417027,26.19419643
1,3.044417027,24.01785714
1,2.193090685,18.4375
1,2.140653917,16.81919643
1,2.048118445,17.04241071
1,1.733497841,16.875
1,1.640962369,17.65625
1,1.699568168,19.21875
1,1.745835904,22.23214286
1,2.288710672,24.74330357
1,2.44910549,27.92410714
1,2.544725478,30.37946429
1,2.242442936,33.28125
1,2.100555213,32.05357143
1,2.140653917,30.32366071
1,2.094386181,29.26339286
1,2.094386181,26.91964286
1,1.838371376,26.86383929
1,1.903146206,27.92410714
1,1.896977175,30.10044643
1,1.943244911,32.61160714
1,2.048118445,34.67633929
1,2.143738433,35.45758929
1,2.094386181,36.12723214
1,1.249228871,19.44196429
1,1.301665638,22.23214286
1,1.24305984,22.79017857
1,0.943861814,21.171875
1,0.792720543,24.01785714
1,0.740283775,25.97098214
1,0.903763109,24.52008929
1,0.943861814,24.6875
1,0.940777298,25.91517857
1,0.987045034,25.97098214
1,1.039481801,26.13839286
1,0.983960518,27.53348214
1,0.943861814,27.92410714
1,1.088834053,27.92410714
1,1.190623072,27.75669643
1,1.249228871,28.203125
1,1.301665638,29.04017857
1,1.347933374,30.49107143
1,1.637877853,29.87723214
1,1.699568168,31.71875
1,1.594694633,35.95982143
1,1.844540407,37.46651786
1,1.79210364,39.30803571
1,1.699568168,41.70758929
1,1.49599013,39.81026786
1,1.440468846,40.25669643
1,1.452806909,38.47098214
1,1.397285626,38.80580357
1,1.261566934,42.09821429
1,1.384947563,43.4375
1,1.49599013,43.77232143
1,1.338679827,45.55803571
1,1.246144355,44.88839286
1,1.14127082,44.27455357
1,0.983960518,44.44196429
1,0.99012955,46.22767857
1,1.088834053,46.953125
1,1.088834053,48.96205357
1,0.740283775,48.90625
1,0.749537323,51.52901786
1,0.635410241,53.42633929
1,0.589142505,57.27678571
1,0.438001234,59.62053571
1,0.493522517,60.17857143
1,0.388648982,61.57366071
1,0.29611351,69.10714286
1,0.545959284,47.23214286
1,0.687847008,43.4375
1,0.545959284,40.08928571
1,0.687847008,39.25223214
1,0.792720543,37.07589286
1,0.943861814,37.578125
1,0.943861814,36.68526786
1,1.088834053,37.96875
1,1.088834053,35.73660714
1,0.894509562,34.62053571
1,0.795805059,34.67633929
1,0.746452807,34.17410714
1,0.589142505,35.45758929
1,0.644663788,33.22544643
1,0.638494756,32.109375
1,0.641579272,30.77008929
1,0.73719926,30.32366071
1,0.73719926,31.43973214
1,0.792720543,29.65401786
1,0.848241826,30.71428571
