source_id,reference,doi,url,digitised
1,Abdi et al. (2009),10.1007/s11676-009-0019-x,,TRUE
2,Abdi et al. (2014),10.17221/44/2014-JFS,,TRUE
3,Abe & Iawamoto (1986),10.11519/jjfs1953.68.12_505,,TRUE
4,Abernethy & Rutherford (2001),10.1002/hyp.152,,TRUE
5,Ali (2010),,https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
6,Bischetti et al. (2009),10.1007/s11104-009-9941-0,,TRUE
7,Boldrin et al. (2021),10.1007/s11104-020-04824-6,,TRUE
8,Burylo et al. (2012),10.1002/esp.3248,,TRUE
9,Capilleri et al. (2016),10.1016/j.proeng.2016.08.415,,TRUE
10,Chen et al. (2022),10.1016/j.iswcr.2022.01.008,,TRUE
11,Cofie et al. (2021),10.1016/S0167-1987(00)00126-4,,TRUE
12,Comino et al. (2010),10.1016/j.still.2010.06.006,,TRUE
13,Ekeoma et al. (2021),10.1007/s11104-021-05150-1,,TRUE
14,Ettbeb et al. (2010),10.1155/2020/3484718,,TRUE
15,Fan & Su (2008),10.1016/j.ecoleng.2008.02.013,,TRUE
16,Fata et al. (2022),10.13057/biodiv/d230360,,TRUE
17,Genet et al. (2005),10.1007/s11104-005-8768-6,,TRUE
18,Genet et al. (2008),10.1016/j.foreco.2008.05.050,,TRUE
19,Ji et al. (2021),10.1007/s11104-019-04327-z,,TRUE
20,Kamchoom et al. (2022),10.1139/cgj-2021-0695,,TRUE
21,Lateh et al. (2014),10.15580/GJBS.2014.2.012314056,,TRUE
22,Leung et al. (2015),10.1016/j.catena.2014.10.018,,TRUE
23,Liang et al. (2017),10.1016/j.ecoleng.2017.06.067,,FALSE
24,Likitlersuang et al. (2022),10.1016/j.ecoleng.2022.106574,,TRUE
25,Loades et al. (2010),10.1016/j.ecoleng.2009.02.005,,TRUE
26,Mao et al. (2022),10.1111/oik.09032,,FALSE
27,Mattia et al. (2005),10.1007/s11104-005-7930-5,,TRUE
28,Meijer et al. (2018a),10.1680/jgeot.16.p.204,,FALSE
29,Meijer et al. (2018b),10.1139/cgj-2017-0344,,FALSE
30,Meijer et al. (2019),10.3390/f10121135,,FALSE
31,Meijer et al. (2024),10.1007/s11104-024-06507-y,,FALSE
32,Mickovski et al. (2009),10.2136/sssaj2008.0172,,TRUE
33,Ni et al. (2019),10.1007/s11355-019-00374-x,,TRUE
34,Operstein & Frydman (2000),10.1680/grim.2000.4.2.81,,TRUE
35,Osman et al. (2011),,http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
36,Phan et al. (2021),10.1002/ldr.4063,,TRUE
37,Pollen & Simon (2005),10.1029/2004wr003801,,TRUE
38,Rossi et al. (2022),10.1016/j.catena.2022.106016,,TRUE
39,Saifuddin & Normaliza (2016),,https://www.jstor.org/stable/43956813,TRUE
40,Saifuddin et al. (2022),10.26525/jtfs2022.34.2.176,,TRUE
41,Sanchez-Castillo et al. (2017),10.17129/botsci.802,,TRUE
42,Schmidt & Cronkite-Ratcliff (2022),10.5066/P9LVVD9S,,FALSE
43,Schwarz et al. (2013),10.5194/hess-17-4367-2013,,TRUE
44,Teerawattanasuk et al. (2014),10.14247/lti.16.2_71,,TRUE
45,Tosi (2007),10.1016/j.geomorph.2006.09.019,,TRUE
46,Truong & Vanoh (2021),,https://w3.cbsua.edu.ph/journal_articles2_0/the-role-of-vetiver-grass-in-protecting-unstable-slopes/,TRUE
47,Vergani et al. (2012),10.1016/j.ecoleng.2012.04.036,,TRUE
48,Watson et al. (2015),,https://www.poplarandwillow.org.nz/documents/veronese-poplar-paper-live-root-wood-strength.pdf,TRUE
49,Wu et al. (2023),10.1007/s11104-023-06289-9,,TRUE
50,Yang et al. (2016),10.1371/journal.pone.0151791,,FALSE
51,Zavala et al. (2020),10.5194/egusphere-egu2020-793,,TRUE
52,Zhang et al. (2020),,http://nldxb.njfu.edu.cn/EN/10.3969/j.issn.1000-2006.201812054,TRUE
53,Zhu et al. (2020),10.1007/s11104-019-04345-x,,TRUE
54,Burroughs & Thomas (1977),,https://archive.org/details/decliningrootstr190burr,TRUE
55,Gonzalez Ollauri (2021),10.5281/zenodo.5171969,,FALSE
