dataset_id,reference,species,notes,model,loglikelihood,ks_distance,diameter_min [mm],diameter_max [mm],functional_group2,t_ru0 [MPa],beta_t,shape,scale [MPa],sdlog,sigma_t0 [MPa],beta_sigmat,width [MPa]
1,Abdi et al. (2009),Carpinus betulus,NA,gamma,-404.9673841425322,0.09729881261725315,0.29611351,4.49413942,Broadleaves,35.41130397297747,-0.45139206422483835,15.097070743589162,NA,NA,NA,NA,NA
1,Abdi et al. (2009),Carpinus betulus,NA,gumbel,-406.0656941316827,0.09772507820684595,0.29611351,4.49413942,Broadleaves,35.5339641204551,-0.4574398625031168,NA,7.746961528237696,NA,NA,NA,NA
1,Abdi et al. (2009),Carpinus betulus,NA,logistic,-412.2795451370868,0.09761195630104302,0.29611351,4.49413942,Broadleaves,35.074027409905256,-0.44850219670235153,NA,5.510931731509288,NA,NA,NA,NA
1,Abdi et al. (2009),Carpinus betulus,NA,lognormal,-405.14361505771194,0.09842847356558437,0.29611351,4.49413942,Broadleaves,35.46371086008339,-0.45451421945663284,NA,NA,0.26061589245932504,NA,NA,NA
1,Abdi et al. (2009),Carpinus betulus,NA,normal_force,-463.4448139338287,0.16346541919843716,0.29611351,4.49413942,Broadleaves,43.552484842610056,-0.7168709179040796,NA,NA,NA,24.15850687933505,-2,NA
1,Abdi et al. (2009),Carpinus betulus,NA,normal_scaled,-406.93576481360356,0.09872619820027867,0.29611351,4.49413942,Broadleaves,35.33703620081499,-0.44483374171750084,NA,NA,NA,9.043530282651304,-0.44483374171750084,NA
1,Abdi et al. (2009),Carpinus betulus,NA,normal_strength,-411.3345556038531,0.08545046153135372,0.29611351,4.49413942,Broadleaves,35.35062188565963,-0.4515011595277953,NA,NA,NA,8.139603178217534,0,NA
1,Abdi et al. (2009),Carpinus betulus,NA,uniform,-385.44763984803626,0.09204850001030346,0.29611351,4.49413942,Broadleaves,35.97430872995722,-0.38833653557684344,NA,NA,NA,NA,NA,30.54432780675339
1,Abdi et al. (2009),Carpinus betulus,NA,weibull,-406.8833693234558,0.10798752033681125,0.29611351,4.49413942,Broadleaves,35.34373316676368,-0.4402990257058135,4.350586018618365,NA,NA,NA,NA,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,gamma,-195.04939507266323,0.10310636208225676,2.502505434,17.04349617,Conifers,37.761206396072936,-0.5530819469030147,6.82157749812002,NA,NA,NA,NA,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,gumbel,-196.51251733811415,0.11061558136513427,2.502505434,17.04349617,Conifers,36.744736050897046,-0.5328478153138397,NA,12.003238079938725,NA,NA,NA,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,logistic,-195.414891131646,0.07261830240473532,2.502505434,17.04349617,Conifers,42.875113961747644,-0.6136499811518977,NA,9.026814788280587,NA,NA,NA,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,lognormal,-197.99325161167872,0.11943833872560161,2.502505434,17.04349617,Conifers,33.92121613505114,-0.4961273872368434,NA,NA,0.40995428488049007,NA,NA,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,normal_force,-209.6464800359905,0.08095573653334504,2.502505434,17.04349617,Conifers,17.570788981786617,-0.2364355098935261,NA,NA,NA,327.0702641901076,-2,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,normal_scaled,-193.00191042440102,0.06945831826024962,2.502505434,17.04349617,Conifers,42.631122224356126,-0.6122833504787109,NA,NA,NA,15.040760667373208,-0.6122833504787109,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,normal_strength,-206.70589387968153,0.0902692199129943,2.502505434,17.04349617,Conifers,42.85959794458432,-0.6211624163972651,NA,NA,NA,5.29214720305843,0,NA
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,uniform,-191.60207931731748,0.13084169351324604,2.502505434,17.04349617,Conifers,43.37341940922754,-0.6516092776797469,NA,NA,NA,NA,NA,65.95914453581219
2,Abe & Iawamoto (1986),Cryptomeria japonica,NA,weibull,-192.17966786949384,0.06851168046546396,2.502505434,17.04349617,Conifers,42.49439108518436,-0.6098225480486384,3.181500633781119,NA,NA,NA,NA,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,gamma,-705.3399709132336,0.0674254800478461,0.293706294,19.02097902,Broadleaves,57.47792932850046,-0.6721399617810169,1.8056343996656736,NA,NA,NA,NA,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,gumbel,-713.0009340522453,0.06736565222909746,0.293706294,19.02097902,Broadleaves,52.744388168904194,-0.6404363223947603,NA,27.209123474574863,NA,NA,NA,NA
